time_s,dx_m,dy_m,dz_m,rx_rad,ry_rad,rz_rad
0,0,0,0,0,0,0
0.0666666666667,0,0,0,0,0,0
0.133333333333,0,0,0,0,0,0
0.2,0,0,0,0,0,0
0.266666666667,0,0,0,0,0,0
0.333333333333,0,0,0,0,0,0
0.4,0,0,0,0,0,0
0.466666666667,0,0,0,0,0,0
0.533333333333,0,0,0,0,0,0
0.6,0,0,0,0,0,0
0.666666666667,0,0,0,0,0,0
0.733333333333,0,0,0,0,0,0
0.8,0,0,0,0,0,0
0.866666666667,0,0,0,0,0,0
0.933333333333,0,0,0,0,0,0
1,0,0,0,0,0,0
1.06666666667,0,0,0,0,0,0
1.13333333333,0,0,0,0,0,0
1.2,0,0,0,0,0,0
1.26666666667,0,0,0,0,0,0
1.33333333333,0,0,0,0,0,0
1.4,0,0,0,0,0,0
1.46666666667,0,0,0,0,0,0
1.53333333333,0,0,0,0,0,0
1.6,0,0,0,0,0,0
1.66666666667,0,0,0,0,0,0
1.73333333333,0,0,0,0,0,0
1.8,0,0,0,0,0,0
1.86666666667,0,0,0,0,0,0
1.93333333333,0,0,0,0,0,0
2,0,0,0,0,0,0
2.06666666667,0,0,0,0,0,2.3266578426e-07
2.13333333333,0,0,0,0,0,3.59459079798e-06
2.2,0,0,0,0,0,1.75516720235e-05
2.26666666667,0,0,0,0,0,5.3441294238e-05
2.33333333333,0,0,0,0,0,0.000125548664487
2.4,0,0,0,0,0,0.000250216113042
2.46666666667,0,0,0,0,0,0.000444994683637
2.53333333333,0,0,0,0,0,0.000727846496324
2.6,0,0,0,0,0,0.00111640548079
2.66666666667,0,0,0,0,0,0.00162730315344
2.73333333333,0,0,0,0,0,0.00227556515508
2.8,0,0,0,0,0,0.00307408328475
2.86666666667,0,0,0,0,0,0.0040331667667
2.93333333333,0,0,0,0,0,0.00516017547834
3,0,0,0,0,0,0.00645923685563
3.06666666667,0,0,0,0,0,0.00793104718469
3.13333333333,0,0,0,0,0,0.00957275699265
3.2,0,0,0,0,0,0.0113779392733
3.26666666667,0,0,0,0,0,0.0133366383316
3.33333333333,0,0,0,0,0,0.0154354961099
3.4,0,0,0,0,0,0.0176579519801
3.46666666667,0,0,0,0,0,0.0199845111449
3.53333333333,0,0,0,0,0,0.0223930760102
3.6,0,0,0,0,0,0.024859334156
3.66666666667,0,0,0,0,0,0.0273571958673
3.73333333333,0,0,0,0,0,0.0298592735827
3.8,0,0,0,0,0,0.0323373950846
3.86666666667,0,0,0,0,0,0.0347631418
3.93333333333,0,0,0,0,0,0.0371084031981
4,0,0,0,0,0,0.0393459379719
4.06666666667,0,0,0,0,0,0.0414499324771
4.13333333333,0,0,0,0,0,0.0433965467693
4.2,0,0,0,0,0,0.0451644385389
4.26666666667,0,0,0,0,0,0.0467352552847
4.33333333333,0,0,0,0,0,0.0480940852052
4.4,0,0,0,0,0,0.049229857503
4.46666666667,0,0,0,0,0,0.0501356831102
4.53333333333,0,0,0,0,0,0.0508091272358
4.6,0,0,0,0,0,0.0512524056191
4.66666666667,0,0,0,0,0,0.0514724969334
4.73333333333,0,0,0,0,0,0.051481164429
4.8,0,0,0,0,0,0.0512948806232
4.86666666667,0,0,0,0,0,0.0509346496354
4.93333333333,0,0,0,0,0,0.0504257226295
5,0,0,0,0,0,0.0497972027457
5.06666666667,0,0,0,0,0,0.0490759702088
5.13333333333,0,0,0,0,0,0.0482686417441
5.2,0,0,0,0,0,0.0473766336799
5.26666666667,0,0,0,0,0,0.0464015109016
5.33333333333,0,0,0,0,0,0.0453449841059
5.4,0,0,0,0,0,0.0442089067996
5.46666666667,0,0,0,0,0,0.0429952720486
5.53333333333,0,0,0,0,0,0.0417062089805
5.6,0,0,0,0,0,0.04034397905
5.66666666667,0,0,0,0,0,0.0389109720712
5.73333333333,0,0,0,0,0,0.0374097020254
5.8,0,0,0,0,0,0.0358428026504
5.86666666667,0,0,0,0,0,0.03421302282
5.93333333333,0,0,0,0,0,0.0325232217219
6,0,0,0,0,0,0.0307763638415
6.06666666667,0,0,0,0,0,0.028975513761
6.13333333333,0,0,0,0,0,0.0271238307835
6.2,0,0,0,0,0,0.02522456339
6.26666666667,0,0,0,0,0,0.0232810435409
6.33333333333,0,0,0,0,0,0.0212966808305
6.4,0,0,0,0,0,0.0192749565053
6.46666666667,0,0,0,0,0,0.0172194173567
6.53333333333,0,0,0,0,0,0.0151336694989
6.6,0,0,0,0,0,0.0130213720423
6.66666666667,0,0,0,0,0,0.0108862306745
6.73333333333,0,0,0,0,0,0.00873199115886
6.8,0,0,0,0,0,0.0065624327636
6.86666666667,0,0,0,0,0,0.00438136163135
6.93333333333,0,0,0,0,0,0.002192604102
7,0,0,0,0,0,6.41223564574e-18
7.06666666667,0,0,0,0,0,-0.002192604102
7.13333333333,0,0,0,0,0,-0.00438136163135
7.2,0,0,0,0,0,-0.0065624327636
7.26666666667,0,0,0,0,0,-0.00873199115886
7.33333333333,0,0,0,0,0,-0.0108862306745
7.4,0,0,0,0,0,-0.0130213720423
7.46666666667,0,0,0,0,0,-0.0151336694989
7.53333333333,0,0,0,0,0,-0.0172194173567
7.6,0,0,0,0,0,-0.0192749565053
7.66666666667,0,0,0,0,0,-0.0212966808305
7.73333333333,0,0,0,0,0,-0.0232810435409
7.8,0,0,0,0,0,-0.02522456339
7.86666666667,0,0,0,0,0,-0.0271238307835
7.93333333333,0,0,0,0,0,-0.028975513761
8,0,0,0,0,0,-0.0307763638415
8.06666666667,0,0,0,0,0,-0.0325232217219
8.13333333333,0,0,0,0,0,-0.03421302282
8.2,0,0,0,0,0,-0.0358428026504
8.26666666667,0,0,0,0,0,-0.0374097020254
8.33333333333,0,0,0,0,0,-0.0389109720712
8.4,0,0,0,0,0,-0.04034397905
8.46666666667,0,0,0,0,0,-0.0417062089805
8.53333333333,0,0,0,0,0,-0.0429952720486
8.6,0,0,0,0,0,-0.0442089067996
8.66666666667,0,0,0,0,0,-0.0453449841059
8.73333333333,0,0,0,0,0,-0.0464015109016
8.8,0,0,0,0,0,-0.0473766336799
8.86666666667,0,0,0,0,0,-0.0482686417441
8.93333333333,0,0,0,0,0,-0.0490759702088
9,0,0,0,0,0,-0.0497972027457
9.06666666667,0,0,0,0,0,-0.0504310740677
9.13333333333,0,0,0,0,0,-0.0509764721493
