time_s,dx_m,dy_m,dz_m,rx_rad,ry_rad,rz_rad
0,0,0,0,0,0,0
0.0666666666667,0,0,0,0,0,0
0.133333333333,0,0,0,0,0,0
0.2,0,0,0,0,0,0
0.266666666667,0,0,0,0,0,0
0.333333333333,0,0,0,0,0,0
0.4,0,0,0,0,0,0
0.466666666667,0,0,0,0,0,0
0.533333333333,0,0,0,0,0,0
0.6,0,0,0,0,0,0
0.666666666667,0,0,0,0,0,0
0.733333333333,0,0,0,0,0,0
0.8,0,0,0,0,0,0
0.866666666667,0,0,0,0,0,0
0.933333333333,0,0,0,0,0,0
1,0,0,0,0,0,0
1.06666666667,0,0,0,0,0,0
1.13333333333,0,0,0,0,0,0
1.2,0,0,0,0,0,0
1.26666666667,0,0,0,0,0,0
1.33333333333,0,0,0,0,0,0
1.4,0,0,0,0,0,0
1.46666666667,0,0,0,0,0,0
1.53333333333,0,0,0,0,0,0
1.6,0,0,0,0,0,0
1.66666666667,0,0,0,0,0,0
1.73333333333,0,0,0,0,0,0
1.8,0,0,0,0,0,0
1.86666666667,0,0,0,0,0,0
1.93333333333,0,0,0,0,0,0
2,0,0,0,0,0,0
2.06666666667,1.35558866592e-08,0,0,0,0,0
2.13333333333,2.13002665399e-07,0,0,0,0,0
2.2,1.0579349289e-06,0,0,0,0,0
2.26666666667,3.27705782823e-06,0,0,0,0,0
2.33333333333,7.83329660884e-06,0,0,0,0,0
2.4,1.58865060478e-05,0,0,0,0,0
2.46666666667,2.87541367846e-05,0,0,0,0,0
2.53333333333,4.78702484826e-05,0,0,0,0,0
2.6,7.47432938882e-05,0,0,0,0,0
2.66666666667,0.000110913132444,0,0,0,0,0
2.73333333333,0.000157907766349,0,0,0,0,0
2.8,0.000217200324942,0,0,0,0,0
2.86666666667,0.000290166854027,0,0,0,0,0
2.93333333333,0.000378045494239,0,0,0,0,0
3,0.000481897655571,0,0,0,0,0
3.06666666667,0.000602571812674,0,0,0,0,0
3.13333333333,0.000740670556118,0,0,0,0,0
3.2,0.000896521537359,0,0,0,0,0
3.26666666667,0.00107015293828,0,0,0,0,0
3.33333333333,0.00126127407869,0,0,0,0,0
3.4,0.00146926174561,0,0,0,0,0
3.46666666667,0.00169315278595,0,0,0,0,0
3.53333333333,0.00193164344704,0,0,0,0,0
3.6,0.00218309587783,0,0,0,0,0
3.66666666667,0.00244555211566,0,0,0,0,0
3.73333333333,0.00271675577861,0,0,0,0,0
3.8,0.00299418156203,0,0,0,0,0
3.86666666667,0.00327507249906,0,0,0,0,0
3.93333333333,0.00355648478895,0,0,0,0,0
4,0.00383533982518,0,0,0,0,0
4.06666666667,0.00410848286794,0,0,0,0,0
4.13333333333,0.00437274760413,0,0,0,0,0
4.2,0.00462502562535,0,0,0,0,0
4.26666666667,0.00486233963197,0,0,0,0,0
4.33333333333,0.00508191894292,0,0,0,0,0
4.4,0.00528127566066,0,0,0,0,0
4.46666666667,0.00545827961185,0,0,0,0,0
4.53333333333,0.00561122996351,0,0,0,0,0
4.6,0.00573892120576,0,0,0,0,0
4.66666666667,0.00584070100369,0,0,0,0,0
4.73333333333,0.00591651725814,0,0,0,0,0
4.8,0.00596695158644,0,0,0,0,0
4.86666666667,0.00599323634766,0,0,0,0,0
4.93333333333,0.00599725230017,0,0,0,0,0
5,0.0059815040024,0,0,0,0,0
5.06666666667,0.00594839543242,0,0,0,0,0
5.13333333333,0.00589799700239,0,0,0,0,0
5.2,0.00582979039749,0,0,0,0,0
5.26666666667,0.00574331128849,0,0,0,0,0
5.33333333333,0.00563815572472,0,0,0,0,0
5.4,0.00551398662956,0,0,0,0,0
5.46666666667,0.00537054035697,0,0,0,0,0
5.53333333333,0.00520763326282,0,0,0,0,0
5.6,0.00502516824025,0,0,0,0,0
5.66666666667,0.0048231411637,0,0,0,0,0
5.73333333333,0.00460164718152,0,0,0,0,0
5.8,0.00436088679292,0,0,0,0,0
5.86666666667,0.00410117164059,0,0,0,0,0
5.93333333333,0.00382292994636,0,0,0,0,0
6,0.00352671151375,0,0,0,0,0
6.06666666667,0.00321319221777,0,0,0,0,0
6.13333333333,0.00288317789971,0,0,0,0,0
6.2,0.00253760758251,0,0,0,0,0
6.26666666667,0.00217755592055,0,0,0,0,0
6.33333333333,0.00180423479703,0,0,0,0,0
6.4,0.00141899398214,0,0,0,0,0
6.46666666667,0.00102332076621,0,0,0,0,0
6.53333333333,0.000618838483815,0,0,0,0,0
6.6,0.000207303848247,0,0,0,0,0
6.66666666667,-0.000209396980215,0,0,0,0,0
6.73333333333,-0.000629253663141,0,0,0,0,0
6.8,-0.00105013835385,0,0,0,0,0
6.86666666667,-0.00146981382405,0,0,0,0,0
6.93333333333,-0.00188594309306,0,0,0,0,0
7,-0.00229610059419,0,0,0,0,0
7.06666666667,-0.00269778490007,0,0,0,0,0
7.13333333333,-0.00308843301423,0,0,0,0,0
7.2,-0.00346543622053,0,0,0,0,0
7.26666666667,-0.00382615746462,0,0,0,0,0
7.33333333333,-0.00416795022275,0,0,0,0,0
7.4,-0.00448817879342,0,0,0,0,0
7.46666666667,-0.00478423992557,0,0,0,0,0
7.53333333333,-0.00505358567522,0,0,0,0,0
7.6,-0.00529374735861,0,0,0,0,0
7.66666666667,-0.00550236044631,0,0,0,0,0
7.73333333333,-0.00567719021817,0,0,0,0,0
7.8,-0.00581615797442,0,0,0,0,0
7.86666666667,-0.00591736757381,0,0,0,0,0
7.93333333333,-0.0059791320457,0,0,0,0,0
8,-0.006,0,0,0,0,0
8.06666666667,-0.00597878153678,0,0,0,0,0
8.13333333333,-0.00591457333754,0,0,0,0,0
8.2,-0.00580678260197,0,0,0,0,0
8.26666666667,-0.00565514947854,0,0,0,0,0
8.33333333333,-0.00545976762526,0,0,0,0,0
8.4,-0.00522110252802,0,0,0,0,0
8.46666666667,-0.00494000719945,0,0,0,0,0
8.53333333333,-0.0046177348812,0,0,0,0,0
8.6,-0.00425594837743,0,0,0,0,0
8.66666666667,-0.00385672565812,0,0,0,0,0
8.73333333333,-0.00342256138664,0,0,0,0,0
8.8,-0.00295636404929,0,0,0,0,0
8.86666666667,-0.00246144839307,0,0,0,0,0
8.93333333333,-0.00194152291428,0,0,0,0,0
9,-0.00140067218314,0,0,0,0,0
9.06666666667,-0.000843333839462,0,0,0,0,0
