time_s,dx_m,dy_m,dz_m,rx_rad,ry_rad,rz_rad
0,0,0,0,0,0,0
0.0666666666667,0,0,0,0,0,0
0.133333333333,0,0,0,0,0,0
0.2,0,0,0,0,0,0
0.266666666667,0,0,0,0,0,0
0.333333333333,0,0,0,0,0,0
0.4,0,0,0,0,0,0
0.466666666667,0,0,0,0,0,0
0.533333333333,0,0,0,0,0,0
0.6,0,0,0,0,0,0
0.666666666667,0,0,0,0,0,0
0.733333333333,0,0,0,0,0,0
0.8,0,0,0,0,0,0
0.866666666667,0,0,0,0,0,0
0.933333333333,0,0,0,0,0,0
1,0,0,0,0,0,0
1.06666666667,0,0,0,0,0,0
1.13333333333,0,0,0,0,0,0
1.2,0,0,0,0,0,0
1.26666666667,0,0,0,0,0,0
1.33333333333,0,0,0,0,0,0
1.4,0,0,0,0,0,0
1.46666666667,0,0,0,0,0,0
1.53333333333,0,0,0,0,0,0
1.6,0,0,0,0,0,0
1.66666666667,0,0,0,0,0,0
1.73333333333,0,0,0,0,0,0
1.8,0,0,0,0,0,0
1.86666666667,0,0,0,0,0,0
1.93333333333,0,0,0,0,0,0
2,0,0,0,0,0,0
2.06666666667,8.88717831682e-08,0,0,0,0,0
2.13333333333,1.37303254534e-06,0,0,0,0,0
2.2,6.70424486898e-06,0,0,0,0,0
2.26666666667,2.04130707437e-05,0,0,0,0,0
2.33333333333,4.79560573242e-05,0,0,0,0,0
2.4,9.55755149566e-05,0,0,0,0,0
2.46666666667,0.000169975448521,0,0,0,0,0
2.53333333333,0.000278016882485,0,0,0,0,0
2.6,0.00042643548183,0,0,0,0,0
2.66666666667,0.000621584017869,0,0,0,0,0
2.73333333333,0.000869201862619,0,0,0,0,0
2.8,0.00117421332059,0,0,0,0,0
2.86666666667,0.00154055622536,0,0,0,0,0
2.93333333333,0.00197104184304,0,0,0,0,0
3,0.00246724673802,0,0,0,0,0
3.06666666667,0.00302943687201,0,0,0,0,0
3.13333333333,0.00365652382655,0,0,0,0,0
3.2,0.00434605266612,0,0,0,0,0
3.26666666667,0.00509422059528,0,0,0,0,0
3.33333333333,0.00589592521194,0,0,0,0,0
3.4,0.00674484082204,0,0,0,0,0
3.46666666667,0.00763352096157,0,0,0,0,0
3.53333333333,0.00855352497134,0,0,0,0,0
3.6,0.00949556619095,0,0,0,0,0
3.66666666667,0.0104496790834,0,0,0,0,0
3.73333333333,0.0114054023708,0,0,0,0,0
3.8,0.0123519750586,0,0,0,0,0
3.86666666667,0.0132785420517,0,0,0,0,0
3.93333333333,0.0141743659182,0,0,0,0,0
4,0.0150290412452,0,0,0,0,0
4.06666666667,0.0158327079469,0,0,0,0,0
4.13333333333,0.0165762598355,0,0,0,0,0
4.2,0.0172515447491,0,0,0,0,0
4.26666666667,0.0178515525485,0,0,0,0,0
4.33333333333,0.0183705873453,0,0,0,0,0
4.4,0.0188044204064,0,0,0,0,0
4.46666666667,0.0191504203015,0,0,0,0,0
4.53333333333,0.019407657009,0,0,0,0,0
4.6,0.0195769768791,0,0,0,0,0
4.66666666667,0.0196610455685,0,0,0,0,0
4.73333333333,0.019664356308,0,0,0,0,0
4.8,0.0195932011356,0,0,0,0,0
4.86666666667,0.0194556030339,0,0,0,0,0
4.93333333333,0.0192612072371,0,0,0,0,0
5,0.0190211303259,0,0,0,0,0
5.06666666667,0.0187456397898,0,0,0,0,0
5.13333333333,0.0184372630318,0,0,0,0,0
5.2,0.0180965410493,0,0,0,0,0
5.26666666667,0.0177240715846,0,0,0,0,0
5.33333333333,0.0173205080757,0,0,0,0,0
5.4,0.01688655851,0,0,0,0,0
5.46666666667,0.0164229841827,0,0,0,0,0
5.53333333333,0.0159305983605,0,0,0,0,0
5.6,0.0154102648555,0,0,0,0,0
5.66666666667,0.0148628965095,0,0,0,0,0
5.73333333333,0.0142894535927,0,0,0,0,0
5.8,0.0136909421186,0,0,0,0,0
5.86666666667,0.0130684120798,0,0,0,0,0
5.93333333333,0.0124229556056,0,0,0,0,0
6,0.0117557050458,0,0,0,0,0
6.06666666667,0.0110678309849,0,0,0,0,0
6.13333333333,0.0103605401875,0,0,0,0,0
6.2,0.00963507348203,0,0,0,0,0
6.26666666667,0.0088927035837,0,0,0,0,0
6.33333333333,0.00813473286152,0,0,0,0,0
6.4,0.00736249105369,0,0,0,0,0
6.46666666667,0.00657733293477,0,0,0,0,0
6.53333333333,0.00578063593889,0,0,0,0,0
6.6,0.0049737977433,0,0,0,0,0
6.66666666667,0.00415823381636,0,0,0,0,0
6.73333333333,0.00333537493432,0,0,0,0,0
6.8,0.00250666467129,0,0,0,0,0
6.86666666667,0.00167355686665,0,0,0,0,0
6.93333333333,0.000837513074584,0,0,0,0,0
7,2.44929359829e-18,0,0,0,0,0
7.06666666667,-0.000837513074584,0,0,0,0,0
7.13333333333,-0.00167355686665,0,0,0,0,0
7.2,-0.00250666467129,0,0,0,0,0
7.26666666667,-0.00333537493432,0,0,0,0,0
7.33333333333,-0.00415823381636,0,0,0,0,0
7.4,-0.0049737977433,0,0,0,0,0
7.46666666667,-0.00578063593889,0,0,0,0,0
7.53333333333,-0.00657733293477,0,0,0,0,0
7.6,-0.00736249105369,0,0,0,0,0
7.66666666667,-0.00813473286152,0,0,0,0,0
7.73333333333,-0.0088927035837,0,0,0,0,0
7.8,-0.00963507348203,0,0,0,0,0
7.86666666667,-0.0103605401875,0,0,0,0,0
7.93333333333,-0.0110678309849,0,0,0,0,0
8,-0.0117557050458,0,0,0,0,0
8.06666666667,-0.0124229556056,0,0,0,0,0
8.13333333333,-0.0130684120798,0,0,0,0,0
8.2,-0.0136909421186,0,0,0,0,0
8.26666666667,-0.0142894535927,0,0,0,0,0
8.33333333333,-0.0148628965095,0,0,0,0,0
8.4,-0.0154102648555,0,0,0,0,0
8.46666666667,-0.0159305983605,0,0,0,0,0
8.53333333333,-0.0164229841827,0,0,0,0,0
8.6,-0.01688655851,0,0,0,0,0
8.66666666667,-0.0173205080757,0,0,0,0,0
8.73333333333,-0.0177240715846,0,0,0,0,0
8.8,-0.0180965410493,0,0,0,0,0
8.86666666667,-0.0184372630318,0,0,0,0,0
8.93333333333,-0.0187456397898,0,0,0,0,0
9,-0.0190211303259,0,0,0,0,0
9.06666666667,-0.019263251336,0,0,0,0,0
